id,product_name,company,cancer_type,modality,claimed_fda_status,claimed_pathway,claimed_decision_date,company_url,fda_search_url,what_to_confirm,OK (tick),correction,notes
paige-breast,Paige Breast,Paige.AI,breast,histopathology,510(k) cleared,510k,null,https://www.paige.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Paige.AI,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change to Research Use or Breakthrough Device Designation only; no FDA 510(k) clearance found for Paige Breast.","Paige says Breast Suite is CE-IVD/UKCA and U.S. use is limited to Research Use Only; FDA DEN200080 is Paige Prostate, not Paige Breast."
pathai-aisight-dx,AISight Dx,PathAI,solid_tumor,histopathology,510(k) cleared,510k,null,https://www.pathai.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=PathAI,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"510(k) number: K243391; decision date: 2025-06-26.","FDA clearance is for AISight Dx digital pathology image viewing/management software with PCCP, not oncology AI diagnostic algorithms; older PathAI Novo clearance is K212361, 2022-08-11."
deepbio-deepdx-prostate,DeepDx Prostate,DeepBio,prostate,histopathology,De Novo authorized,de_novo,null,https://www.deep.bio/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change U.S. FDA status/pathway to Research Use or CE/MFDS-only; no FDA De Novo authorization found.","Public sources show Korea MFDS approval and CE marking/CE-IVDD for DeepDx Prostate; no U.S. FDA DEN number found."
contextvision-inify-prostate,INIFY Prostate,ContextVision,prostate,histopathology,Research Use,research_use,null,https://www.contextvision.com/,(verify status from company site),decision date / intended use matches current labeling,x,,"Company sources show INIFY Prostate Screening is CE-marked for EU clinical use and evaluated in U.S. studies; no U.S. FDA clearance found."
aiforia-clinical-prostate,Aiforia Clinical Prostate,Aiforia Technologies,prostate,histopathology,510(k) cleared,510k,null,https://www.aiforia.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Aiforia,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change U.S. FDA status/pathway to Research Use; no FDA 510(k) clearance found.","Aiforia Prostate AI is CE-IVD/IVDR for EU/EEA diagnostic use; company materials describe non-EU markets as RUO/PSO."
aiforia-her2,Aiforia Clinical HER2 Breast,Aiforia Technologies,breast,histopathology,LDT,ldt,null,https://www.aiforia.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,,"Change status/pathway from LDT to Research Use outside EU/EEA.","Aiforia Breast Cancer HER2 is CE-IVD/IVDR for EU/EEA diagnostic use and RUO/PSO in all other market areas; not an LDT claim."
roche-upath-her2-breast,uPath HER2 (4B5) image analysis for breast cancer,Roche Diagnostics,breast,histopathology,510(k) cleared,510k,null,https://diagnostics.roche.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Roche,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Potential FDA mappings: K061613 decision 2007-01-10 for VENTANA IMAGE ANALYSIS SYSTEM - PATHWAY HER2 (4B5); K111543 decision 2011-10-12 or K121516 decision 2013-09-26 for VIRTUOSO SYSTEM FOR IHC HER2 (4B5).","Roche current U.S. digital pathology page labels the navify/uPath HER2 algorithm as RUO/country-specific; verify whether the registry should cite legacy Ventana/Virtuoso clearances or downgrade current uPath/navify U.S. status."
mindpeak-pdl1,Mindpeak PD-L1 Lung,Mindpeak,lung,histopathology,Research Use,research_use,null,https://www.mindpeak.ai/,(verify status from company site),decision date / intended use matches current labeling,x,,"Mindpeak Lung NSCLC PD-L1 product exists and is CE-marked; site footer/regulatory note says products are RUO unless otherwise stated, and no U.S. FDA clearance found."
owkin-rlapsrisk-bc,RlapsRisk BC,Owkin,breast,histopathology,Research Use,research_use,null,https://www.owkin.com/,(verify status from company site),decision date / intended use matches current labeling,x,,"Current Owkin page says RlapsRisk BC is under development, not for clinical use, and not FDA cleared/approved for U.S.; earlier company news reports CE-IVD approval/use in Europe."
stratipath-breast,Stratipath Breast,Stratipath,breast,histopathology,Research Use,research_use,null,https://stratipath.com/,(verify status from company site),decision date / intended use matches current labeling,x,,"Company page says Stratipath Breast is CE-IVD marked/UK registered and in clinical use in EU/UK; no U.S. FDA clearance found."
visiopharm-her2-connect,HER2-CONNECT,Visiopharm,breast,histopathology,Research Use,research_use,null,https://visiopharm.com/,(verify status from company site),decision date / intended use matches current labeling,x,,"Visiopharm HER2 breast APP/HER2-CONNECT materials show EU IVDR/CE-IVD status; no U.S. FDA clearance found."
ibex-galen-colon,Galen Colon,Ibex Medical Analytics,colorectal,histopathology,Research Use,research_use,null,https://ibex-ai.com/,(verify status from company site),decision date / intended use matches current labeling,x,,"Ibex has FDA 510(k) K241232 for Galen Second Read / Prostate Detect only; Ibex states other U.S. solutions are RUO, so Galen Colon should remain Research Use in U.S."
optellum-virtual-nodule-clinic,Virtual Nodule Clinic (LCP CNN),Optellum,lung,radiology_ct,De Novo authorized,de_novo,2021-10,https://www.optellum.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # (K/DEN/P) / intended use matches current labeling,,"Change pathway/status/date to 510(k) cleared; 510(k) number: K202300; decision date: 2021-03-05.","FDA record is Optellum Virtual Nodule Clinic / Optellum software / Optellum platform, product code POK; not De Novo and not 2021-10."
vuno-med-lungct-ai,VUNO Med-LungCT AI,VUNO,lung,radiology_ct,510(k) cleared,510k,null,https://www.vuno.co/en/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=VUNO,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change U.S. FDA status/pathway to Research Use or non-U.S. cleared only; no FDA 510(k) found for VUNO Med-LungCT AI.","FDA records found for VUNO Chest X-ray Triage K241439 and DeepBrain K231398, but not LungCT AI; company sources show MFDS/PMDA/CE and 2025 transfer of LungCT assets to Coreline Soft."
infervision-inferread-lung-ct,InferRead Lung CT.AI,Infervision,lung,radiology_ct,510(k) cleared,510k,null,https://global.infervision.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Infervision,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) number: K192880; decision date: 2020-07-02. Latest same-named clearance found: K240554; decision date: 2025-05-16.","FDA records list InferRead Lung CT.AI under Beijing Infervision/Infervision, product code OEB."
