id,product_name,company,cancer_type,modality,claimed_fda_status,claimed_pathway,claimed_decision_date,company_url,fda_search_url,what_to_confirm,OK (tick),correction,notes
koios-ds-breast,Koios DS for Breast,Koios Medical,breast,radiology_us,510(k) cleared,510k,null,https://www.koiosmedical.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Koios,FDA # + decision date + current product name + intended use matches,x,"510(k) number: K190442; decision date: 2019-07-03. Later Koios DS clearances: K212616 decision 2021-12-16 and K242130 decision 2024-11-15.","FDA records list Koios DS for Breast / Koios DS for breast ultrasound lesion assessment."
annalise-enterprise-ctb,Annalise Enterprise CTB,Annalise.ai,brain,radiology_ct,510(k) cleared,510k,null,https://annalise.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Annalise.ai,FDA # + decision date + current product name + intended use matches,x,"510(k) mappings include K231094 decision 2023-08-15 for Annalise Enterprise CTB Triage-OH and K231384/K231767 decision 2023-09-22 for Annalise Enterprise CTB Triage Trauma.","FDA records support CT brain triage clearances; intended-use claims should stay limited to the cleared triage findings."
dermtech-melanoma-test,DermTech Melanoma Test (PLA),DermTech,melanoma,multiomics,LDT,ldt,null,https://dermtech.com/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,x,,"DermTech Melanoma Test/PLA remains an LDT/no FDA approval found; current company page still markets DermTech 2.0 melanoma testing, while TERT add-on was discontinued in 2024."
foundationone-liquid-cdx,FoundationOne Liquid CDx,Foundation Medicine (Roche),"solid_tumor,pan_cancer",liquid_biopsy,PMA approved,pma,2020-08,https://www.foundationmedicine.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # + decision date + current product name + intended use matches,x,"PMA number: P190032; approval date: 2020-08-26. Related PMA P200016 approved 2020-11-06.","FDA trade name FoundationOne Liquid CDx / F1 Liquid CDx."
tempus-xt,Tempus xT,Tempus AI,"solid_tumor,pan_cancer",genomic_sequencing_with_ai,LDT,ldt,null,https://www.tempus.com/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,,"Change current primary FDA status/pathway to PMA approved for xT CDx; PMA number: P210011; approval date: 2023-04-28.","Tempus announced nationwide xT CDx launch in 2025. Tempus materials say xT CDx is run when normal sample is available and xT LDT may be used as reflex if unavailable."
curemetrix-cmtriage,cmTriage,CureMetrix,breast,radiology_mammography,510(k) cleared,510k,2019-03,https://curemetrix.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=CureMetrix,FDA # + decision date + current product name + intended use matches,x,"510(k) number: K183285; decision date: 2019-03-08.","FDA record lists cmTriage, product code QFM."
annalise-cxr,Annalise CXR,Annalise.ai,lung,radiology_cxr,510(k) cleared,510k,null,https://annalise.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Annalise.ai,FDA # + decision date + current product name + intended use matches,x,"510(k) mappings include K213941 decision 2022-02-24 for Annalise Enterprise CXR Triage Pneumothorax and K222179/K222268 decision 2023-03-28 for Annalise Enterprise CXR Triage Trauma; later K250831 decision 2025-04-23 for Annalise Enterprise.","FDA records support CXR triage clearances, not a broad lung cancer diagnosis indication."
paige-prostate-detect,Paige Prostate Detect,Paige.AI,prostate,histopathology,De Novo authorized,de_novo,2021-09,https://paige.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # + decision date + current product name + intended use matches,x,"De Novo number: DEN200080; decision date: 2021-09-21.","FDA device name: Paige Prostate, product code QPN."
signatera-mrd,Signatera,Natera,"colorectal,breast,bladder,lung,pan_cancer",liquid_biopsy,LDT,ldt,null,https://www.natera.com/oncology/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,x,,"Natera materials state Signatera is performed by CLIA-certified laboratories and has not been cleared or approved by FDA."
proscia-concentriq-ai,Concentriq AI,Proscia,"prostate,dermatopathology",histopathology,Research Use,,null,https://proscia.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm,FDA # + decision date + current product name + intended use matches,,"Add claimed_pathway=research_use or split from Concentriq Dx. FDA 510(k) K230839 decision 2024-02-08 applies to Concentriq Dx digital pathology image management, not Concentriq AI diagnostic algorithms.","Proscia Concentriq AI/App Center marketplace includes third-party AI applications; registry should not imply broad FDA clearance for those algorithms."
